epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59117.25000,654285669.1826417446136475,71492.3293986946955556,-376107.3329273771960288,-176291.8328585935523733,1.1765345896137422,0.1728284089151558,0.1907462128645452
59117.50000,654307269.1826417446136475,96999.1139135716221062,-371668.2344614915782586,-171864.0137687451497186,1.1847245771495223,0.2387301090368929,0.2190211030793419
59117.75000,654328869.1826417446136475,122650.1885054843151011,-365769.7316290446906351,-166840.9883162584155798,1.1898189027655532,0.3080307329889980,0.2457826720928274
59118.00000,654350469.1826417446136475,148372.9739671310235281,-358333.5865843495703302,-161260.8157237850537058,1.1912484897936229,0.3811811211405643,0.2705094007487139
59118.25000,654372069.1826417446136475,174079.6197806306590792,-349271.8137243392993696,-155174.5092219590442255,1.1881500620543370,0.4586175610961891,0.2925179100035878
59118.50000,654393669.1826417446136475,199659.4111643494106829,-338488.3220295845530927,-148649.8293182257621083,1.1792503727754919,0.5406220588086039,0.3109390434347286
59118.75000,654415269.1826417446136475,224968.7871398622519337,-325884.8309936532168649,-141775.2267204638046678,1.1627712884413652,0.6270590341594496,0.3247350359504943
59119.00000,654436869.1826417446136475,249820.3453502958000172,-311374.0793297122581862,-134662.4925428314309102,1.1364533163474733,0.7169645112949721,0.3328131944341823
59119.25000,654458469.1826417446136475,273975.0825897570466623,-294902.9590592705062591,-127445.3019784945063293,1.0978625899520900,0.8080655070925686,0.3343016146141079
59119.50000,654480069.1826417446136475,297145.7651739418506622,-276484.4196889055310749,-120269.8847356966871303,1.0451256454159454,0.8965168876696675,0.3289918608969638
59119.75000,654501669.1826417446136475,319020.0699792800005525,-256228.5440765060775448,-113275.6947347418026766,0.9779653956055780,0.9773168561778524,0.3177735781229432
59120.00000,654523269.1826417446136475,339304.2692058888496831,-234354.8013212587975431,-106569.9838026859069942,0.8984331109664360,1.0456142197559279,0.3027004129123967
59120.25000,654544869.1826417446136475,357772.5257923231692985,-211170.8874275356356520,-100207.4115963442454813,0.8106121228335115,1.0983267815706841,0.2864549156628261
59120.50000,654566469.1826417446136475,374297.8142823150847107,-187023.2970373522257432,-94185.7560353709122865,0.7193059936072213,1.1349740017710619,0.2714801933140470
