epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59118.75000,654415269.1826417446136475,229614.8284273036988452,-280619.5523982451413758,-146930.2565858427842613,0.8349524538718969,0.5333215194830435,0.1575501628686578
59119.00000,654436869.1826417446136475,247284.2091426721890457,-268663.0832895243656822,-143297.1608017443213612,0.8007243728899548,0.5734169577815852,0.1787320605890416
59119.25000,654458469.1826417446136475,264190.3244431415805593,-255863.0123439700691961,-139214.2032348397478927,0.7643023384198229,0.6114192366956701,0.1991957747679170
59119.50000,654480069.1826417446136475,280287.2560227464418858,-242265.4043741780915298,-134697.4205937128863297,0.7258228338178973,0.6472506284103196,0.2188933038242215
59119.75000,654501669.1826417446136475,295532.0501379031338729,-227917.9252217123284936,-129763.8534922998660477,0.6854238240298417,0.6808405824743450,0.2377796844999492
59120.00000,654523269.1826417446136475,309884.7465879762894474,-212869.6889213449030649,-124431.4814936017210130,0.6432444803367652,0.7121255254239198,0.2558129305353866
59120.25000,654544869.1826417446136475,323308.4020227370201610,-197171.1090070857899264,-118719.1594212970958324,0.5994249293389077,0.7410486775892211,0.2729539766583809
59120.50000,654566469.1826417446136475,335769.1080389944836497,-180873.7535961668181699,-112646.5548218601761619,0.5541060206154628,0.7675598862790689,0.2891666280622204
59120.75000,654588069.1826417446136475,347236.0044160921825096,-164030.2039117837266531,-106234.0864599688211456,0.5074291082199692,0.7916154739215417,0.3044175152028276
59121.00000,654609669.1826417446136475,357681.2877437713323161,-146693.9159408615960274,-99502.8637365637550829,0.4595358419337637,0.8131780992985334,0.3186760534765138
59121.25000,654631269.1826417446136475,367080.2156159013393335,-128919.0849672642361838,-92474.6269309262861498,0.4105679649541987,0.8322166296816318,0.3319144071197511
59121.50000,654652869.1826417446136475,375411.1064999438822269,-110760.5127705016639084,-85171.6881841639842605,0.3606671154434029,0.8487060214830995,0.3441074565139809
59121.75000,654674469.1826417446136475,382655.3353442546795122,-92273.4773326161084697,-77616.8731603792984970,0.3099746300841637,0.8626272069533258,0.3552327679722975
59122.00000,654696069.1826417446136475,388797.3249527328298427,-73513.6049492112942971,-69833.4633424368366832,0.2586313484705949,0.8739669844761441,0.3652705650280914
59122.25000,654717669.1826417446136475,393824.5331379119306803,-54536.7446924251999008,-61845.1389406070229597,0.2067774177915868,0.8827179101251993,0.3742037002347772
59122.50000,654739269.1826417446136475,397727.4356581520405598,-35398.8452221859188285,-53675.9224135088807088,0.1545520978349954,0.8888781883361737,0.3820176265161820
59122.75000,654760869.1826417446136475,400499.5049507422954775,-16155.8339857348273654,-45350.1226208551452146,0.1020935668420624,0.8924515598091410,0.3887003671744748
59123.00000,654782469.1826417446136475,402137.1846889076405205,3136.5011171811183885,-36892.2796457735530566,0.0495387291683009,0.8934471850705507,0.3942424837619545
59123.25000,654804069.1826417446136475,402639.8602152660605498,22422.6274959332549770,-28327.1103402986955189,-0.0029769739457311,0.8918795224832959,0.3986370411496535
59123.50000,654825669.1826417446136475,402009.8249354425934143,41647.3809279376437189,-19679.4546604654788098,-0.0553197489258339,0.8877681998838141,0.4018795692744571
59123.75000,654847269.1826417446136475,400252.2427915135049261,60756.0757720395849901,-10974.2228668676762027,-0.1073576279894567,0.8811378794350734,0.4039680212120242
59124.00000,654868869.1826417446136475,397375.1069739088416100,79694.6121891332441010,-2236.3436722681231004,-0.1589606390002521,0.8720181157013761,0.4049027273997379
59124.25000,654890469.1826417446136475,393389.1950705435010605,98409.5802274036395829,6509.2865803296199374,-0.2100009651928745,0.8604432073651308,0.4046863460175705
59124.50000,654912069.1826417446136475,388308.0208915478433482,116848.3606430235668086,15237.8536279146483139,-0.2603530929734363,0.8464520434053693,0.4033238097195636
59124.75000,654933669.1826417446136475,382147.7832453630398959,134959.2223489245807286,23924.6738108925201232,-0.3098939461389540,0.8300879449341111,0.4008222690901957
59125.00000,654955269.1826417446136475,374927.3119756472879089,152691.4164139098720625,32545.2413445768252132,-0.3585030050655401,0.8113985042293159,0.3971910333730931
59125.25000,654976869.1826417446136475,366668.0115969819016755,169995.2665709460852668,41075.2742872116214130,-0.4060624096810912,0.7904354228088107,0.3924415091820795
59125.50000,654998469.1826417446136475,357393.8028895913739689,186822.2562362185271922,49490.7591699510594481,-0.4524570453579522,0.7672543506480977,0.3865871380512337
59125.75000,655020069.1826417446136475,347131.0628280991222709,203125.1120882836112287,57767.9942741420600214,-0.4975746112251089,0.7419147288528372,0.3796433338090349
59126.00000,655041669.1826417446136475,335908.5632258904515766,218857.8843083529500291,65883.6315637492516544,-0.5413056707994416,0.7144796382532139,0.3716274208706094
59126.25000,655063269.1826417446136475,323757.4084742444683798,233976.0236372205836233,73814.7173053681908641,-0.5835436852636351,0.6850156564875546,0.3625585746286202
59126.50000,655084869.1826417446136475,310710.9727435098029673,248436.4554603748547379,81538.7314344987535151,-0.6241850301663374,0.6535927261865726,0.3524577651867336
59126.75000,655106469.1826417446136475,296804.8369918907992542,262197.6511892160633579,89033.6257540920923930,-0.6631289967807400,0.6202840368579249,0.3413477057193063
59127.00000,655128069.1826417446136475,282076.7260956717072986,275219.6972618314321153,96277.8610793238185579,-0.7002777798245391,0.5851659230040697,0.3292528067566732
59127.25000,655149669.1826417446136475,266566.4463728722766973,287464.3621402854914777,103250.4434705664170906,-0.7355364537116426,0.5483177808857274,0.3161991376870392
59127.50000,655171269.1826417446136475,250315.8237204336619470,298895.1617317093187012,109930.9597241122974083,-0.7688129399693955,0.5098220061698614,0.3022143967336487
59127.75000,655192869.1826417446136475,233368.6425232038309332,309477.4237064988701604,116299.6123168244666886,-0.8000179689106870,0.4697639544765876,0.2873278906098813
59128.00000,655214469.1826417446136475,215770.5854214383580256,319178.3512275746907108,122337.2540260546666104,-0.8290650390952121,0.4282319265656752,0.2715705249758060
59128.25000,655236069.1826417446136475,197569.1739424976694863,327967.0866388427675702,128025.4224693677824689,-0.8558703785463443,0.3853171795772924,0.2549748067158987
59128.50000,655257669.1826417446136475,178813.7099122149520554,335814.7756875396589749,133346.3748292840609793,-0.8803529121068019,0.3411139653674093,0.2375748589306911
